Timestamp,GrabEventOccurred,BlueBowl_Position_X,BlueBowl_Position_Y,BlueBowl_Position_Z,BlueBowl_Rotation_X,BlueBowl_Rotation_Y,BlueBowl_Rotation_Z,BlueCup_Position_X,BlueCup_Position_Y,BlueCup_Position_Z,BlueCup_Rotation_X,BlueCup_Rotation_Y,BlueCup_Rotation_Z,BronzeBottle_Position_X,BronzeBottle_Position_Y,BronzeBottle_Position_Z,BronzeBottle_Rotation_X,BronzeBottle_Rotation_Y,BronzeBottle_Rotation_Z,CeladonBottle_Position_X,CeladonBottle_Position_Y,CeladonBottle_Position_Z,CeladonBottle_Rotation_X,CeladonBottle_Rotation_Y,CeladonBottle_Rotation_Z,RedBowl_Position_X,RedBowl_Position_Y,RedBowl_Position_Z,RedBowl_Rotation_X,RedBowl_Rotation_Y,RedBowl_Rotation_Z,RedCup_Position_X,RedCup_Position_Y,RedCup_Position_Z,RedCup_Rotation_X,RedCup_Rotation_Y,RedCup_Rotation_Z,WhiteBottle_Position_X,WhiteBottle_Position_Y,WhiteBottle_Position_Z,WhiteBottle_Rotation_X,WhiteBottle_Rotation_Y,WhiteBottle_Rotation_Z,WhiteBowl_Position_X,WhiteBowl_Position_Y,WhiteBowl_Position_Z,WhiteBowl_Rotation_X,WhiteBowl_Rotation_Y,WhiteBowl_Rotation_Z,WhiteCup_Position_X,WhiteCup_Position_Y,WhiteCup_Position_Z,WhiteCup_Rotation_X,WhiteCup_Rotation_Y,WhiteCup_Rotation_Z,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,EyePosX,EyePosY,EyePosZ,EyeRotX,EyeRotY,EyeRotZ,LeftShoulderX_Delta,LeftShoulderY_Delta,LeftShoulderZ_Delta,RightShoulderX_Delta,RightShoulderY_Delta,RightShoulderZ_Delta,LeftElbowX_Delta,LeftElbowY_Delta,LeftElbowZ_Delta,RightElbowX_Delta,RightElbowY_Delta,RightElbowZ_Delta,LeftWristX_Delta,LeftWristY_Delta,LeftWristZ_Delta,RightWristX_Delta,RightWristY_Delta,RightWristZ_Delta,LeftHipX_Delta,LeftHipY_Delta,LeftHipZ_Delta,RightHipX_Delta,RightHipY_Delta,RightHipZ_Delta,LeftKneeX_Delta,LeftKneeY_Delta,LeftKneeZ_Delta,RightKneeX_Delta,RightKneeY_Delta,RightKneeZ_Delta,LeftAnkleX_Delta,LeftAnkleY_Delta,LeftAnkleZ_Delta,RightAnkleX_Delta,RightAnkleY_Delta,RightAnkleZ_Delta,Angle_RS_LS_LE,Angle_LS_LE_LW,Angle_LS_RS_RE,Angle_RS_RE_RW,Angle_LS_LH_LK,Angle_RS_RH_RK,Angle_LH_LK_LA,Angle_RH_RK_RA,RedBowl_Distance,RedBowl_Angle,RedBowl_HeadAngle,WhiteBowl_Distance,WhiteBowl_Angle,WhiteBowl_HeadAngle,BlueBowl_Distance,BlueBowl_Angle,BlueBowl_HeadAngle,BronzeBottle_Distance,BronzeBottle_Angle,BronzeBottle_HeadAngle,WhiteBottle_Distance,WhiteBottle_Angle,WhiteBottle_HeadAngle,CeladonBottle_Distance,CeladonBottle_Angle,CeladonBottle_HeadAngle,BlueCup_Distance,BlueCup_Angle,BlueCup_HeadAngle,WhiteCup_Distance,WhiteCup_Angle,WhiteCup_HeadAngle,RedCup_Distance,RedCup_Angle,RedCup_HeadAngle
0.0,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.019,1.967612,0.0,358.0548,0.0,-0.2335454,1.014802,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.017413,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.04910829,1.600889,0.03343818,6.356492,350.8961,0.05996086,-0.01571512,1.600924,0.03879322,12.44357,346.9551,359.6217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.78782246030943,109.77598284579689,86.33621145928407,139.3176835430897,152.8679365627905,145.66026817053697,131.2039176831618,136.79615065176367,2.183406,64.87101,63.596456739281166,2.006877,73.86263,72.7772625663459,1.89016,83.89246,82.86272261111579,2.118474,6.15737,13.141286833558349,2.05526,1.673627,10.591554377194665,2.035267,6.879,10.97323362871091,2.173359,72.25832,77.75709468396771,2.19707,67.02341,71.94942033623009,2.223548,61.30202,66.30330487626289
0.01159668,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.019,1.967612,0.0,358.0548,0.0,-0.2335454,1.014802,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.017413,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.0490064,1.600853,0.03336385,6.382376,350.9078,0.05561883,-0.01561209,1.600885,0.03871178,12.46908,346.966,359.6155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.78782246030943,109.77598284579689,86.33621145928407,139.3176835430897,152.8679365627905,145.66026817053697,131.2039176831618,136.79615065176367,2.183355,64.84985,63.57380370278274,2.006807,73.84016,72.75400232313847,1.890071,83.86922,82.8390827413616,2.118563,6.163575,13.130448971846477,2.055341,1.647939,10.569752323477807,2.035336,6.856895,10.943349806896627,2.173442,72.25864,77.75700971436082,2.197159,67.02444,71.94920492664237,2.223643,61.30344,66.30341494997968
0.02161407,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.019,1.967612,0.0,358.0548,0.0,-0.2335454,1.014802,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.017413,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.04888361,1.600857,0.03331482,6.382343,350.9339,0.04535303,-0.01548675,1.600883,0.03864685,12.46835,346.991,359.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.78782246030943,109.77598284579689,86.33621145928407,139.3176835430897,152.8679365627905,145.66026817053697,131.2039176831618,136.79615065176367,2.183289,64.82338,63.54841457713038,2.006726,73.81425,72.7290550452712,1.889976,83.84409,82.81482598915171,2.118646,6.190046,13.150018469387662,2.055413,1.651379,10.579053287819475,2.035395,6.830988,10.935529031097428,2.17356,72.28064,77.77969599107382,2.19728,67.04685,71.97211666341249,2.223766,61.32622,66.32666626155373
0.03282166,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.019,1.967612,0.0,358.0548,0.0,-0.2335454,1.014802,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.017413,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.04877894,1.600826,0.033246,6.402806,350.9487,0.03970792,-0.01538065,1.600849,0.03856909,12.48838,347.0048,359.5979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.78782246030943,109.77598284579689,86.33621145928407,139.3176835430897,152.8679365627905,145.66026817053697,131.2039176831618,136.79615065176367,2.183234,64.80119,63.525146620269176,2.006653,73.79116,72.70540106994679,1.889886,83.82051,82.79101816822586,2.118731,6.200521,13.145589453370903,2.05549,1.632188,10.563772646720102,2.035461,6.808124,10.91019252500442,2.173648,72.28547,77.78445444466568,2.197373,67.05231,71.9768127972395,2.223865,61.33207,66.331685445266
0.04428864,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.019,1.967612,0.0,358.0548,0.0,-0.2335454,1.014802,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.017413,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.04868009,1.600807,0.03321578,6.411982,350.988,0.02325783,-0.01527798,1.600821,0.03851486,12.49641,347.0423,359.5805,-7.2500000000141895e-06,8.249999999987434e-06,0.00022381250000000352,6.774999999958897e-06,2.6499999999929358e-06,-0.00047132499999999466,-9.499999999995623e-06,-7.750000000084079e-07,0.0004841824999999994,2.1000000000048757e-06,2.575000000004657e-06,-0.0005643175000000084,1.4999999997655777e-07,-0.00010329999999997286,0.00017330750000000422,4.525000000032975e-06,-7.774999999998755e-05,-0.0006109749999999858,-6.499999999909356e-07,-1.3600000000002499e-05,0.0003614349999999985,1.1500000000053134e-06,-1.732500000006798e-05,-0.0003617575000000005,-3.2874999999987775e-05,4.999999999921734e-06,5.441749999999905e-05,-2.780000000002225e-05,-4.0000000001150227e-07,-0.0008310475000000012,4.144999999999843e-05,-8.905000000003493e-05,-0.00035994999999999777,-4.197500000008292e-05,6.949999999950052e-06,-0.0013903574999999946,112.01842826403997,109.3793322755511,86.34981098773846,139.3191302671625,152.6151570771937,145.31889959329382,131.10612236539035,136.67701153968736,2.183168,64.76116,63.485907322442415,2.006576,73.75146,72.6665571503412,1.889798,83.78143,82.75279648325387,2.118784,6.2364,13.167030678365647,2.055533,1.629068,10.568441692488609,2.035494,6.768106,10.890484961581334,2.173734,72.31657,77.8164279908159,2.197461,67.08396,72.00875854492558,2.223954,61.36406,66.36391375938702
0.05562592,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.019,1.967612,0.0,358.0548,0.0,-0.2335454,1.014802,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.017413,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.04857899,1.600751,0.03316341,6.437605,351.0136,0.01952265,-0.01517449,1.600763,0.03844735,12.52172,347.067,359.5749,-7.250000000069701e-06,8.249999999987434e-06,0.00022381249999999658,6.775000000014408e-06,2.6499999999929358e-06,-0.00047132500000000854,-9.499999999995623e-06,-7.750000000084079e-07,0.00048418250000000027,2.1000000000048757e-06,2.575000000004657e-06,-0.0005643174999999945,1.5000000003206893e-07,-0.00010330000000002837,0.00017330749999999728,4.524999999977464e-06,-7.775000000009857e-05,-0.0006109750000000136,-6.499999999909356e-07,-1.3600000000002499e-05,0.00036143500000000023,1.1500000000053134e-06,-1.7324999999901447e-05,-0.00036175749999989987,-3.28750000000988e-05,5.000000000088267e-06,5.4417500000000785e-05,-2.779999999996674e-05,-4.0000000001150227e-07,-0.0008310474999999994,4.144999999999843e-05,-8.905000000003493e-05,-0.00035994999999999777,-4.1974999999916385e-05,6.950000000061074e-06,-0.0013903575000000085,112.24786665953079,108.98399303858398,86.36456069593238,139.32051140142028,152.36241127538466,144.97748439439385,131.00896833675316,136.55902127557286,2.183099,64.7275,63.45084446440915,2.00649,73.71687,72.63116827489863,1.889697,83.7464,82.71732431952339,2.118847,6.256299,13.165848026565879,2.055587,1.606569,10.550854133041778,2.035537,6.733273,10.856070217270014,2.173809,72.33025,77.82999890690962,2.197539,67.0984,72.02210606444419,2.224036,61.37888,66.37756749586939
0.06720734,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.019,1.967612,0.0,358.0548,0.0,-0.2335454,1.014802,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.017413,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.04847066,1.600696,0.03310849,6.469489,351.0347,0.01110424,-0.01506412,1.600703,0.03837959,12.43598,347.4956,359.6104,-7.249999999903167e-06,8.249999999987434e-06,0.00022381250000000352,6.775000000014408e-06,2.6499999999929358e-06,-0.00047132499999999466,-9.499999999995623e-06,-7.750000000084079e-07,0.00048418250000000027,2.1000000000048757e-06,2.575000000004657e-06,-0.0005643174999999945,1.4999999997655777e-07,-0.00010330000000008388,0.00017330750000000422,4.524999999977464e-06,-7.774999999993204e-05,-0.0006109749999999858,-6.499999999909356e-07,-1.3600000000002499e-05,0.00036143500000000023,1.1500000000053134e-06,-1.732500000001247e-05,-0.0003617575000000976,-3.2874999999932264e-05,5.000000000032756e-06,5.441749999999905e-05,-2.780000000002225e-05,-3.999999999559911e-07,-0.0008310474999999994,4.144999999999843e-05,-8.904999999992391e-05,-0.00035994999999999777,-4.1974999999971896e-05,6.950000000061074e-06,-0.0013903575000000917,112.4761429584185,108.58996828067205,86.38043438364357,139.3218267763697,152.10970716425692,144.6360398654661,130.91246504118666,136.4422052311847,2.183025,64.35126,63.418296487205396,2.006399,73.35401,72.5980775226861,1.889591,83.39597,82.68393419948048,2.118914,6.685188,13.157428591630955,2.055645,1.811105,10.526635796980273,2.035583,6.372184,10.817924876575749,2.173892,72.75314,77.83690817584244,2.197625,67.52231,72.02876838694498,2.224125,61.80324,66.384566987754
0.07709503,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.019,1.967612,0.0,358.0548,0.0,-0.2335454,1.014802,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.017413,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.04835454,1.600576,0.03306036,6.526072,351.0582,0.01310029,-0.01494586,1.600584,0.0383179,12.49257,347.5185,359.6089,-7.2500000000141895e-06,8.250000000042945e-06,0.00022381249999999658,6.775000000014408e-06,2.6499999999929358e-06,-0.00047132500000000854,-9.499999999995623e-06,-7.750000000084079e-07,0.0004841824999999994,2.1000000000048757e-06,2.575000000004657e-06,-0.0005643175000000084,1.5000000003206893e-07,-0.00010329999999991735,0.00017330749999999728,4.525000000032975e-06,-7.774999999998755e-05,-0.0006109750000000136,-6.499999999909356e-07,-1.3600000000002499e-05,0.00036143500000000023,1.1500000000053134e-06,-1.732500000001247e-05,-0.0003617575000000005,-3.2874999999987775e-05,4.999999999977245e-06,5.4417500000000785e-05,-2.779999999996674e-05,-4.0000000001150227e-07,-0.0008310475000000012,4.144999999999843e-05,-8.905000000003493e-05,-0.00035994999999999777,-4.197500000002741e-05,6.949999999950052e-06,-0.0013903574999999113,112.70326265109416,108.19726099621285,86.39740648236301,139.32307622334244,151.85705262690706,144.29458331371913,130.8166219415651,136.32658879869626,2.182918,64.30985,63.37292562234986,2.006273,73.30999,72.55156021552274,1.889448,83.35025,82.63655076972537,2.118961,6.69738,13.131460515893748,2.055679,1.766136,10.477020419036263,2.035605,6.325644,10.751989087645617,2.173958,72.75569,77.83826771634915,2.197693,67.52612,72.0294884211896,2.224196,61.80756,66.3856550862208
0.08939362,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.019,1.967612,0.0,358.0548,0.0,-0.2335454,1.014802,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.017413,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.04825093,1.60052,0.03300051,6.557343,351.08,0.007295087,-0.01484018,1.600524,0.03824491,12.52343,347.5393,359.601,-7.499999998827889e-08,-7.777500000000215e-05,0.0001089150000000011,-7.100000000037632e-06,-1.5574999999989902e-05,0.00040895000000000514,1.1249999999907168e-06,-0.0001618999999999926,-1.5887749999999624e-05,-3.3975000000019406e-05,-3.952499999998471e-05,0.0003470675000000062,-2.500000001459668e-08,-0.00022345000000001392,-3.225250000000318e-05,-2.262499999999834e-05,-6.049999999979683e-06,7.467500000002403e-05,2.4999999959085528e-08,-2.9849999999997934e-05,-1.6050000000000092e-05,-3.5750000000334126e-06,-5.0999999999801204e-06,1.6117499999999257e-05,-4.349999999986309e-06,-3.469999999999862e-05,-3.417250000000045e-05,5.4999999998806e-07,-2.1374999999990152e-05,0.0001775975000000013,1.2200000000017752e-05,-4.904999999999493e-05,0.00019152499999999795,2.6750000000075325e-06,-2.725000000003419e-05,0.00045401250000000337,112.58899655412782,108.21173770451999,86.50761061159092,139.18795770555016,151.90181183517046,144.5168706481087,130.72945295362513,136.33737418062424,2.182851,64.27802,63.33951881262351,2.006188,73.27682,72.51759190171262,1.889346,83.31631,82.60226479748819,2.119031,6.712912,13.123988865099932,2.055741,1.746188,10.453410635846744,2.035655,6.291892,10.713736689047348,2.174036,72.76385,77.84604064401077,2.197774,67.53512,72.03700920537733,2.224283,61.817,66.39351258838201
0.09976196,0,1.609,0.7932078,0.4469999,2.504478e-06,0.0,0.0,-2.075,0.816,0.08999991,0.0,270.0,0.0,-0.6880977,1.019,1.967612,0.0,358.0548,0.0,-0.2335454,1.014802,1.973746,0.0,358.0548,0.0,1.612113,0.7932077,1.197594,9.334668e-06,0.0,0.0,-2.054,0.7774798,0.53,0.0,0.0,0.0,-0.4678476,1.017413,1.959135,0.0,172.1247,0.0,1.614,0.7932077,0.814,2.504478e-06,0.0,0.0,-2.067,0.7773665,0.311,0.0,0.0,0.0,-0.04815962,1.600355,0.03292526,6.643541,351.1153,359.9926,-0.0147455,1.60035,0.03814811,12.60856,347.5719,359.5806,-7.500000009930119e-08,-7.777500000000215e-05,0.0001089150000000011,-7.099999999982121e-06,-1.5574999999989902e-05,0.00040895000000000514,1.1249999999907168e-06,-0.0001618999999999926,-1.5887749999899878e-05,-3.3974999999963895e-05,-3.952500000004022e-05,0.0003470674999999923,-2.500000001459668e-08,-0.0002234499999999584,-3.225249999999624e-05,-2.262499999999834e-05,-6.050000000035194e-06,7.467499999999627e-05,2.500000001459668e-08,-2.9849999999997934e-05,-1.6050000000000092e-05,-3.5749999999779014e-06,-5.0999999999801204e-06,1.6117499999999257e-05,-4.349999999986309e-06,-3.469999999999862e-05,-3.417250000000045e-05,5.4999999998806e-07,-2.1375000000045663e-05,0.00017759749999999956,1.219999999990673e-05,-4.904999999999493e-05,0.00019152499999999795,2.6750000000075325e-06,-2.725000000003419e-05,0.00045401250000000337,112.47421097701731,108.22637222248055,86.61820481514937,139.0538041928672,151.9465791859276,144.7395237569771,130.64246637401916,136.3484856520423,2.18276,64.21893,63.27503725992348,2.006075,73.21351,72.45115129250958,1.889212,83.25003,82.53416076318068,2.119082,6.728873,13.084299241341618,2.055783,1.680745,10.379981750234291,2.035688,6.226898,10.617976062887271,2.174063,72.7656,77.84657471854585,2.197806,67.53858,72.03644877188047,2.22432,61.82108,66.393346116246
